household_id,device_model,firmware_version,plan_type,region,num_nodes,connected_devices,tenure_days,signup_date,churned
HH-00076,eero Pro 6E,6.4.2,Basic,Northeast,1,18,230,2023-05-16,0
HH-00077,eero 6,6.3.0,Basic,Southeast,2,18,1015,2021-03-22,0
HH-00078,eero 6+,6.4.0,Basic,Northeast,3,22,390,2022-12-07,0
HH-00079,eero 6,6.4.0,eero Secure+,Southeast,2,18,161,2023-07-24,0
HH-00080,eero Max,6.1.0,eero Plus,Southwest,3,21,206,2023-06-09,0
HH-00081,eero Pro 6E,6.2.0,eero Plus,Midwest,2,20,51,2023-11-11,1
HH-00082,eero 6+,6.4.2,eero Plus,Southeast,1,14,682,2022-02-18,0
HH-00083,eero 6,6.3.0,eero Plus,Northeast,3,18,812,2021-10-11,0
HH-00084,eero 6+,6.2.0,Basic,Southeast,1,9,197,2023-06-18,0
HH-00085,eero 6+,6.4.0,eero Plus,Northeast,2,20,1091,2021-01-05,1
HH-00086,eero Pro 6E,6.4.2,eero Plus,Southwest,1,13,902,2021-07-13,1
HH-00087,eero Pro 6E,6.1.0,Basic,Northeast,1,13,969,2021-05-07,1
HH-00088,eero Max,6.4.0,eero Plus,Midwest,2,18,661,2022-03-11,0
HH-00089,eero 6+,6.2.0,Basic,Southeast,2,21,863,2021-08-21,0
HH-00090,eero 6,6.1.0,Basic,Southeast,3,24,751,2021-12-11,0
HH-00091,eero Pro 6E,6.1.0,Basic,Midwest,3,16,469,2022-09-19,0
HH-00092,eero Pro 6E,6.4.2,Basic,Southeast,3,28,272,2023-04-04,0
HH-00093,eero 6+,6.2.0,eero Secure+,Southeast,2,19,630,2022-04-11,0
HH-00094,eero Pro 6E,6.1.0,eero Secure+,Midwest,3,16,791,2021-11-01,0
HH-00095,eero 6+,6.4.0,Basic,Midwest,3,17,572,2022-06-08,0
HH-00096,eero 6+,6.4.2,eero Plus,Southeast,2,12,306,2023-03-01,0
HH-00097,eero 6+,6.3.0,eero Plus,Midwest,3,20,579,2022-06-01,0
HH-00098,eero 6,6.4.0,Basic,Southwest,5,24,432,2022-10-26,0
HH-00099,eero 6,6.1.0,Basic,Northeast,1,13,679,2022-02-21,0
HH-00100,eero 6,6.4.0,eero Secure+,Midwest,4,24,1026,2021-03-11,1
HH-00101,eero Pro 6E,6.4.0,eero Plus,Northeast,1,12,105,2023-09-18,1
HH-00102,eero 6+,6.4.0,eero Secure+,Northeast,2,20,368,2022-12-29,0
HH-00103,eero 6+,6.3.0,Basic,Midwest,2,19,794,2021-10-29,0
HH-00104,eero Max,6.3.0,eero Plus,West,3,17,67,2023-10-26,0
HH-00105,eero 6,6.2.0,Basic,West,1,13,347,2023-01-19,1
HH-00106,eero 6+,6.3.0,Basic,Northeast,4,22,669,2022-03-03,0
HH-00107,eero Pro 6E,6.2.0,eero Plus,Southeast,4,22,699,2022-02-01,0
HH-00108,eero 6,6.4.2,Basic,Midwest,3,18,358,2023-01-08,0
HH-00109,eero 6,6.5.0,Basic,Northeast,2,18,505,2022-08-14,0
HH-00110,eero 6,6.5.0,Basic,Southwest,5,27,567,2022-06-13,0
HH-00111,eero 6,6.5.0,Basic,Southwest,4,26,372,2022-12-25,0
HH-00112,eero Max,6.4.2,eero Plus,West,2,16,169,2023-07-16,0
HH-00113,eero Pro 6E,6.4.2,eero Plus,Northeast,3,24,102,2023-09-21,0
HH-00114,eero Pro 6E,6.3.0,Basic,Northeast,3,18,457,2022-10-01,1
HH-00115,eero Max,6.4.2,Basic,West,3,25,1012,2021-03-25,0
HH-00116,eero Pro 6E,6.4.0,Basic,Southwest,2,16,629,2022-04-12,1
HH-00117,eero 6,6.4.0,eero Plus,West,2,19,126,2023-08-28,0
HH-00118,eero Max,6.4.2,Basic,Northeast,1,20,507,2022-08-12,0
HH-00119,eero 6+,6.3.0,eero Plus,Midwest,2,21,1051,2021-02-14,0
HH-00120,eero Pro 6E,6.3.0,Basic,Midwest,3,22,520,2022-07-30,1
HH-00121,eero Max,6.5.0,Basic,Northeast,5,26,435,2022-10-23,0
HH-00122,eero 6+,6.1.0,eero Secure+,Midwest,5,31,744,2021-12-18,0
HH-00123,eero 6,6.4.0,eero Plus,Midwest,3,22,476,2022-09-12,0
HH-00124,eero 6,6.5.0,Basic,Northeast,3,16,728,2022-01-03,0
HH-00125,eero 6+,6.4.2,eero Secure+,Southeast,1,10,1073,2021-01-23,0
HH-00126,eero Pro 6E,6.4.0,eero Plus,Midwest,3,15,614,2022-04-27,0
HH-00127,eero Max,6.3.0,eero Secure+,Midwest,1,14,456,2022-10-02,0
HH-00128,eero 6,6.3.0,eero Plus,West,2,19,983,2021-04-23,0
HH-00129,eero 6+,6.5.0,eero Plus,Southeast,3,13,879,2021-08-05,0
HH-00130,eero 6+,6.4.0,eero Secure+,Southeast,2,11,623,2022-04-18,0
HH-00131,eero 6,6.4.0,Basic,West,1,15,385,2022-12-12,0
HH-00132,eero 6,6.2.0,eero Plus,West,4,27,56,2023-11-06,0
HH-00133,eero 6+,6.1.0,eero Plus,Northeast,2,17,485,2022-09-03,0
HH-00134,eero Max,6.5.0,Basic,Southwest,1,14,141,2023-08-13,1
HH-00135,eero 6+,6.3.0,Basic,Northeast,1,12,776,2021-11-16,0
HH-00136,eero 6+,6.4.2,Basic,Northeast,2,20,404,2022-11-23,0
HH-00137,eero Pro 6E,6.1.0,eero Plus,Southeast,1,12,874,2021-08-10,0
HH-00138,eero 6+,6.4.2,eero Plus,Southeast,3,21,155,2023-07-30,0
HH-00139,eero Max,6.5.0,eero Plus,Southwest,2,13,1060,2021-02-05,0
HH-00140,eero Max,6.4.0,Basic,Southwest,4,22,591,2022-05-20,0
HH-00141,eero 6,6.2.0,eero Plus,West,1,15,607,2022-05-04,1
HH-00142,eero 6+,6.4.0,eero Secure+,Southwest,2,17,391,2022-12-06,0
HH-00143,eero 6+,6.4.2,Basic,Southeast,3,22,708,2022-01-23,0
HH-00144,eero 6,6.4.0,eero Plus,Southwest,3,22,1012,2021-03-25,0
HH-00145,eero 6,6.5.0,eero Plus,West,3,20,793,2021-10-30,0
HH-00146,eero Pro 6E,6.4.2,eero Plus,Southwest,4,26,804,2021-10-19,0
HH-00147,eero 6+,6.5.0,eero Plus,Southwest,1,14,829,2021-09-24,1
HH-00148,eero 6,6.4.2,eero Secure+,West,2,19,304,2023-03-03,0
HH-00149,eero 6,6.2.0,Basic,Northeast,4,26,425,2022-11-02,0
HH-00150,eero Max,6.3.0,eero Secure+,Southwest,1,11,935,2021-06-10,0
HH-00151,eero 6,6.3.0,Basic,West,1,13,521,2022-07-29,1
HH-00152,eero 6,6.5.0,Basic,West,1,17,406,2022-11-21,0
HH-00153,eero 6+,6.4.2,Basic,Northeast,3,21,688,2022-02-12,0
HH-00154,eero Max,6.4.2,eero Plus,Midwest,2,20,570,2022-06-10,0
HH-00155,eero 6,6.3.0,Basic,Southwest,1,14,868,2021-08-16,0
HH-00156,eero Pro 6E,6.2.0,Basic,Southeast,2,22,349,2023-01-17,0
HH-00157,eero Pro 6E,6.4.2,Basic,Midwest,3,22,254,2023-04-22,0
HH-00158,eero 6,6.4.0,eero Secure+,Southeast,1,14,485,2022-09-03,0
HH-00159,eero Pro 6E,6.3.0,eero Secure+,Southeast,2,23,680,2022-02-20,0
HH-00160,eero 6+,6.4.2,eero Plus,Southeast,3,28,446,2022-10-12,0
HH-00161,eero Pro 6E,6.1.0,eero Plus,Midwest,5,18,833,2021-09-20,0
HH-00162,eero Pro 6E,6.3.0,eero Plus,Southeast,3,19,808,2021-10-15,0
HH-00163,eero 6+,6.4.0,Basic,Midwest,3,20,827,2021-09-26,0
HH-00164,eero 6,6.2.0,eero Secure+,Southeast,2,18,638,2022-04-03,0
HH-00165,eero Pro 6E,6.5.0,Basic,Northeast,2,21,822,2021-10-01,0
HH-00166,eero 6+,6.3.0,Basic,Northeast,2,15,1044,2021-02-21,1
HH-00167,eero 6,6.2.0,Basic,Northeast,4,22,627,2022-04-14,0
HH-00168,eero 6,6.3.0,eero Plus,Midwest,2,18,1002,2021-04-04,0
HH-00169,eero 6+,6.4.2,eero Plus,Southwest,4,23,35,2023-11-27,0
HH-00170,eero Pro 6E,6.4.0,eero Plus,Northeast,5,38,339,2023-01-27,0
HH-00171,eero 6,6.4.0,Basic,Northeast,1,18,814,2021-10-09,0
HH-00172,eero 6+,6.1.0,eero Plus,Southwest,1,14,885,2021-07-30,1
HH-00173,eero 6,6.1.0,Basic,Southeast,1,12,934,2021-06-11,0
HH-00174,eero Pro 6E,6.4.0,Basic,West,2,14,1055,2021-02-10,0
HH-00175,eero 6,6.4.2,Basic,Southwest,1,18,803,2021-10-20,0
HH-00176,eero Pro 6E,6.5.0,eero Plus,Southeast,4,23,783,2021-11-09,0
HH-00177,eero 6+,6.2.0,Basic,Southeast,1,9,852,2021-09-01,1
HH-00178,eero Max,6.4.0,eero Plus,Midwest,2,14,87,2023-10-06,0
HH-00179,eero 6,6.5.0,eero Plus,Northeast,1,19,547,2022-07-03,0
HH-00180,eero 6+,6.4.0,eero Plus,Northeast,5,26,59,2023-11-03,0
HH-00181,eero 6,6.4.2,eero Plus,Northeast,3,19,180,2023-07-05,1
HH-00182,eero Max,6.2.0,Basic,Southwest,4,21,577,2022-06-03,1
HH-00183,eero Max,6.5.0,Basic,Midwest,5,27,139,2023-08-15,0
HH-00184,eero 6,6.4.2,eero Plus,Northeast,2,17,270,2023-04-06,0
HH-00185,eero Pro 6E,6.5.0,eero Plus,Southwest,1,14,1083,2021-01-13,0
HH-00186,eero Pro 6E,6.4.2,eero Secure+,Southeast,1,20,495,2022-08-24,0
HH-00187,eero 6+,6.3.0,eero Secure+,Midwest,1,9,494,2022-08-25,0
HH-00188,eero 6+,6.5.0,Basic,Northeast,3,23,266,2023-04-10,1
HH-00189,eero 6,6.3.0,Basic,Midwest,1,18,403,2022-11-24,0
HH-00190,eero 6,6.3.0,eero Plus,West,1,17,629,2022-04-12,0
HH-00191,eero Max,6.4.2,Basic,Northeast,3,30,545,2022-07-05,0
HH-00192,eero Max,6.4.2,Basic,Southeast,3,22,281,2023-03-26,0
HH-00193,eero Pro 6E,6.5.0,eero Secure+,Southeast,3,24,592,2022-05-19,0
HH-00194,eero 6+,6.3.0,Basic,Southeast,2,17,565,2022-06-15,0
HH-00195,eero 6+,6.4.2,eero Secure+,Southeast,4,25,1099,2020-12-28,0
HH-00196,eero Pro 6E,6.4.2,eero Plus,Southwest,2,14,657,2022-03-15,0
HH-00197,eero Max,6.1.0,eero Plus,West,1,23,636,2022-04-05,1
HH-00198,eero Max,6.4.0,Basic,Northeast,3,20,464,2022-09-24,0
HH-00199,eero Pro 6E,6.3.0,Basic,Midwest,5,27,640,2022-04-01,0
HH-00200,eero Pro 6E,6.3.0,eero Plus,Midwest,1,12,305,2023-03-02,1
HH-00201,eero 6,6.5.0,Basic,Midwest,2,22,877,2021-08-07,0
HH-00202,eero 6,6.4.2,Basic,Southeast,2,15,933,2021-06-12,0
HH-00203,eero Max,6.4.2,Basic,Northeast,1,10,696,2022-02-04,0
HH-00204,eero Pro 6E,6.5.0,Basic,Midwest,4,21,811,2021-10-12,0
HH-00205,eero 6,6.3.0,Basic,Southeast,2,17,862,2021-08-22,0
HH-00206,eero 6,6.4.2,eero Plus,Southwest,3,22,533,2022-07-17,0
HH-00207,eero Pro 6E,6.4.0,Basic,Southwest,3,23,305,2023-03-02,0
HH-00208,eero 6,6.5.0,Basic,Northeast,3,21,355,2023-01-11,0
HH-00209,eero 6,6.2.0,eero Plus,Northeast,1,16,586,2022-05-25,0
HH-00210,eero 6+,6.5.0,eero Secure+,West,1,17,542,2022-07-08,0
HH-00211,eero Pro 6E,6.3.0,Basic,Midwest,1,11,324,2023-02-11,0
HH-00212,eero Pro 6E,6.3.0,Basic,West,1,18,404,2022-11-23,0
HH-00213,eero 6,6.4.2,eero Plus,Northeast,2,15,85,2023-10-08,0
HH-00214,eero Pro 6E,6.4.0,eero Secure+,Midwest,4,19,941,2021-06-04,0
HH-00215,eero 6,6.4.2,eero Plus,Midwest,2,17,49,2023-11-13,0
HH-00216,eero 6+,6.4.0,eero Plus,West,3,24,881,2021-08-03,0
HH-00217,eero Pro 6E,6.4.2,Basic,Northeast,2,21,620,2022-04-21,0
HH-00218,eero Pro 6E,6.3.0,eero Plus,Southeast,3,19,950,2021-05-26,1
HH-00219,eero Pro 6E,6.1.0,Basic,Southeast,5,25,395,2022-12-02,0
HH-00220,eero Pro 6E,6.3.0,eero Plus,West,1,13,30,2023-12-02,1
HH-00221,eero 6+,6.4.0,eero Plus,West,4,23,942,2021-06-03,0
HH-00222,eero 6,6.2.0,eero Secure+,West,3,22,877,2021-08-07,0
HH-00223,eero 6+,6.3.0,Basic,West,4,21,754,2021-12-08,0
HH-00224,eero 6,6.4.0,Basic,Northeast,3,18,789,2021-11-03,0
HH-00225,eero 6,6.1.0,eero Plus,Northeast,2,13,256,2023-04-20,0
HH-00226,eero Max,6.4.0,eero Plus,Northeast,1,10,1077,2021-01-19,0
HH-00227,eero 6+,6.5.0,eero Plus,Southeast,1,10,731,2021-12-31,0
HH-00228,eero Max,6.2.0,Basic,West,2,12,337,2023-01-29,0
HH-00229,eero Pro 6E,6.4.0,Basic,West,5,29,991,2021-04-15,0
HH-00230,eero Pro 6E,6.4.2,eero Plus,Northeast,3,26,598,2022-05-13,0
HH-00231,eero 6+,6.4.0,Basic,Midwest,2,14,650,2022-03-22,1
HH-00232,eero 6+,6.4.2,eero Secure+,West,4,22,682,2022-02-18,0
HH-00233,eero 6+,6.4.0,eero Plus,Midwest,3,16,826,2021-09-27,0
HH-00234,eero 6,6.4.0,eero Plus,Northeast,2,19,509,2022-08-10,0
HH-00235,eero Pro 6E,6.1.0,eero Plus,Southeast,1,17,931,2021-06-14,0
HH-00236,eero 6,6.4.2,eero Plus,Southeast,1,21,926,2021-06-19,0
HH-00237,eero 6,6.4.2,Basic,Midwest,4,21,949,2021-05-27,0
HH-00238,eero Pro 6E,6.1.0,eero Secure+,Southeast,4,24,615,2022-04-26,0
HH-00239,eero 6,6.3.0,Basic,Northeast,2,16,291,2023-03-16,0
HH-00240,eero Max,6.5.0,eero Plus,West,2,13,433,2022-10-25,0
HH-00241,eero Max,6.4.0,Basic,Midwest,3,21,724,2022-01-07,0
HH-00242,eero Max,6.4.0,eero Plus,Midwest,5,31,815,2021-10-08,0
HH-00243,eero 6+,6.5.0,Basic,West,3,21,306,2023-03-01,0
HH-00244,eero 6,6.4.2,Basic,Northeast,3,17,706,2022-01-25,0
HH-00245,eero Max,6.4.0,eero Secure+,Northeast,1,18,246,2023-04-30,1
HH-00246,eero 6+,6.4.2,Basic,Southwest,2,21,219,2023-05-27,0
HH-00247,eero Max,6.5.0,eero Plus,Southeast,1,11,1071,2021-01-25,0
HH-00248,eero Max,6.4.0,eero Secure+,Southwest,4,23,773,2021-11-19,0
HH-00249,eero Max,6.4.0,Basic,Southeast,2,12,272,2023-04-04,0
HH-00250,eero 6,6.4.0,eero Plus,Northeast,4,23,82,2023-10-11,0
HH-00251,eero 6+,6.5.0,Basic,Midwest,2,18,591,2022-05-20,0
HH-00252,eero Max,6.4.2,Basic,Northeast,4,31,801,2021-10-22,0
HH-00253,eero 6+,6.2.0,Basic,Southwest,2,22,348,2023-01-18,0
HH-00254,eero 6,6.5.0,eero Secure+,Midwest,2,17,736,2021-12-26,0
HH-00255,eero 6+,6.4.0,Basic,West,3,15,277,2023-03-30,0
HH-00256,eero Max,6.1.0,eero Plus,Southwest,1,13,206,2023-06-09,0
HH-00257,eero Pro 6E,6.4.0,eero Plus,Northeast,5,31,42,2023-11-20,1
HH-00258,eero 6+,6.4.0,eero Secure+,Southwest,3,17,318,2023-02-17,0
HH-00259,eero 6,6.5.0,Basic,Midwest,2,18,460,2022-09-28,0
HH-00260,eero Pro 6E,6.3.0,eero Plus,Southwest,4,24,605,2022-05-06,0
HH-00261,eero Max,6.4.2,eero Plus,West,4,26,63,2023-10-30,0
HH-00262,eero 6,6.4.0,eero Plus,Midwest,2,15,670,2022-03-02,0
HH-00263,eero 6+,6.1.0,eero Secure+,Midwest,4,23,162,2023-07-23,1
HH-00264,eero Max,6.5.0,eero Secure+,Midwest,1,11,926,2021-06-19,0
HH-00265,eero Pro 6E,6.4.0,Basic,Southeast,1,13,1011,2021-03-26,0
HH-00266,eero Pro 6E,6.3.0,eero Plus,Northeast,3,23,430,2022-10-28,0
HH-00267,eero Pro 6E,6.4.0,Basic,Midwest,2,22,635,2022-04-06,0
HH-00268,eero 6+,6.5.0,Basic,Southeast,2,27,640,2022-04-01,0
HH-00269,eero 6,6.3.0,eero Plus,Northeast,2,15,670,2022-03-02,0
HH-00270,eero Pro 6E,6.2.0,Basic,Northeast,2,20,161,2023-07-24,0
HH-00271,eero Pro 6E,6.2.0,Basic,Midwest,4,25,422,2022-11-05,0
HH-00272,eero Max,6.3.0,eero Secure+,Southeast,3,23,842,2021-09-11,0
HH-00273,eero Max,6.4.2,Basic,Southwest,5,30,957,2021-05-19,0
HH-00274,eero 6+,6.4.0,eero Secure+,Southeast,3,20,610,2022-05-01,0
HH-00275,eero 6+,6.3.0,eero Plus,Midwest,2,19,43,2023-11-19,0
HH-00276,eero Pro 6E,6.2.0,eero Plus,Southeast,2,17,464,2022-09-24,0
HH-00277,eero Pro 6E,6.3.0,eero Secure+,Midwest,2,16,503,2022-08-16,0
HH-00278,eero Pro 6E,6.5.0,Basic,Southeast,4,20,180,2023-07-05,0
HH-00279,eero Pro 6E,6.3.0,Basic,West,1,14,499,2022-08-20,0
HH-00280,eero Max,6.5.0,Basic,West,1,12,440,2022-10-18,0
HH-00281,eero 6+,6.4.0,Basic,West,4,22,374,2022-12-23,0
HH-00282,eero 6+,6.2.0,eero Secure+,West,3,13,833,2021-09-20,0
HH-00283,eero 6,6.5.0,eero Secure+,Southeast,1,16,573,2022-06-07,0
HH-00284,eero 6+,6.4.0,Basic,Midwest,1,12,223,2023-05-23,0
HH-00285,eero 6,6.4.2,Basic,Southwest,4,24,967,2021-05-09,0
HH-00286,eero 6+,6.5.0,Basic,Southwest,4,22,658,2022-03-14,0
HH-00287,eero 6+,6.1.0,Basic,West,2,15,459,2022-09-29,1
HH-00288,eero 6,6.2.0,eero Plus,Southwest,2,20,246,2023-04-30,0
HH-00289,eero 6+,6.4.2,Basic,West,4,25,1050,2021-02-15,0
HH-00290,eero 6,6.3.0,eero Plus,Southeast,3,15,999,2021-04-07,0
HH-00291,eero 6,6.2.0,Basic,West,4,25,514,2022-08-05,1
HH-00292,eero Pro 6E,6.1.0,Basic,Southwest,2,29,630,2022-04-11,1
HH-00293,eero 6+,6.1.0,eero Plus,Southwest,4,29,389,2022-12-08,0
HH-00294,eero 6,6.4.2,eero Plus,Southeast,2,25,698,2022-02-02,0
HH-00295,eero 6+,6.2.0,eero Secure+,Southwest,1,18,450,2022-10-08,0
HH-00296,eero Pro 6E,6.4.0,eero Secure+,West,3,26,610,2022-05-01,0
HH-00297,eero 6,6.4.2,Basic,Northeast,2,17,811,2021-10-12,1
HH-00298,eero Pro 6E,6.4.0,Basic,Midwest,4,28,546,2022-07-04,0
HH-00299,eero 6,6.1.0,eero Secure+,Southeast,1,13,272,2023-04-04,0
HH-00300,eero 6,6.4.2,eero Secure+,West,4,28,659,2022-03-13,0
HH-00301,eero 6+,6.1.0,eero Secure+,Midwest,2,17,1046,2021-02-19,0
HH-00302,eero 6+,6.4.2,Basic,Southeast,3,18,201,2023-06-14,0
HH-00303,eero Pro 6E,6.5.0,eero Secure+,Southeast,1,12,684,2022-02-16,0
HH-00304,eero Pro 6E,6.4.0,Basic,Midwest,3,26,798,2021-10-25,0
HH-00305,eero Max,6.4.0,eero Plus,Northeast,3,25,489,2022-08-30,0
HH-00306,eero 6+,6.4.0,eero Secure+,Midwest,2,20,561,2022-06-19,0
HH-00307,eero 6+,6.4.0,Basic,West,1,17,320,2023-02-15,0
HH-00308,eero Pro 6E,6.5.0,eero Secure+,West,2,14,688,2022-02-12,0
HH-00309,eero 6,6.5.0,Basic,Northeast,4,28,881,2021-08-03,0
HH-00310,eero 6+,6.3.0,eero Secure+,West,2,22,583,2022-05-28,0
HH-00311,eero 6,6.4.2,Basic,Southwest,2,16,457,2022-10-01,0
HH-00312,eero 6,6.5.0,eero Secure+,Northeast,2,16,500,2022-08-19,1
HH-00313,eero Max,6.5.0,Basic,Northeast,5,30,895,2021-07-20,0
HH-00314,eero Pro 6E,6.4.0,eero Plus,Northeast,2,21,542,2022-07-08,0
HH-00315,eero Pro 6E,6.4.0,eero Plus,West,1,15,353,2023-01-13,0
HH-00316,eero 6+,6.3.0,eero Plus,Northeast,3,21,284,2023-03-23,0
HH-00317,eero 6,6.5.0,Basic,Southeast,3,19,750,2021-12-12,0
HH-00318,eero 6,6.2.0,eero Plus,Southwest,1,19,619,2022-04-22,1
HH-00319,eero 6,6.4.0,Basic,Midwest,5,29,80,2023-10-13,0
HH-00320,eero 6+,6.3.0,eero Plus,Southwest,3,24,829,2021-09-24,0
HH-00321,eero Pro 6E,6.3.0,Basic,Southwest,2,15,129,2023-08-25,0
